nombre;lat;lng;
MERCADO DE CARAPUNGO;-0.09624;-78.4507;
DMQ-Casa Somos Carapungo;-0.0894898;-78.4522688;
San MIguel del Común Parque;-0.09374;-78.4114812;
Calderón parque;-0.1037158;-78.4236764;
Parque Cruz Roja Calderón;-0.09838;-78.4363;
Llano Chico Parque;-0.1277067;-78.4443067;
AZ Calderon Balcón Servicios;-0.10388;-78.4537;
Parque Llano Grande;-0.11438;-78.4317;
ESTADIO ATAHUALPA LLANO GRANDE;-0.1219526;-78.4139646;
Cocotog- Boulevard Garcia Moreno1;-0.13879;-78.4355;
Cocotog- Boulevard Garcia Moreno2;-0.13866;-78.4320;
Cocotog- Boulevard Garcia Moreno3;-0.13867;-78.4292683;
Cocotog- Iglesia;-0.137678;-78.4264287;
Cocotog- Estadio San Jose;-0.1401295;-78.423339;
Cocotog- Boulevard García Moreno 4;-0.13859;-78.4188;
FORESTAL;-0.258252;-78.503850;
LOS LIBERTADORES;-0.247170;-78.5371;
ORIENTAL;-0.25794;-78.5189;
MERCADO MENA DOS;-0.25826;-78.5525;
MERCADO QUITO SUR;-0.26000;-78.5310;
MERCADO DE SOLANDA;-0.26876;-78.5431;
DMQ-Ecovia-Ayapamba;-0.27866;-78.5320;
DMQ-Ecovia-Guajalo;-0.28778;-78.5379;
DMQ-Ecovia Colegio Montufar;-0.237819;-78.509517;
DMQ-Ecovia Eplicachima;-0.263730;-78.52440;
DMQ-Ecovia San Bartolo;-0.26851;-78.5275;
DMQ-Ecovia El Comercio;-0.27184;-78.5290;
DMQ-Ecovia San Cristobal;-0.28263;-78.5348;
DMQ-Trole Recreo;-0.25237;-78.5217;
DMQ-Trole Solanda;-0.270130;-78.5355;
DMQ-Trole La Colina;-0.2358;-78.5150;
DMQ-Trole Turubamba;-0.27867;-78.5428;
DMQ-Trole Ajavi;-0.26860;-78.5337;
DMQ-Trole La Internacional;-0.2660176;-78.5322016;
DMQ-Trole El Calzado;-0.2584149;-78.5261251;
DMQ-Trole El Recreo 2;-0.25183;-78.5215;
DMQ-Trole La Villaflora;-0.2444179;-78.5185936;
DMQ-Ecovia - Pujilí;-0.259460;-78.5228;
DMQ-Ecovia - Estadio Chimbacalle;-0.2452379;-78.5140551;
DMQ-Ecovia - Teatro México;-0.24056;-78.5114;
Parque Yaguachi;-0.2346396;-78.5288214;
Cancha Ciudadela México;-0.236980;-78.5110;
Parque Fulton;-0.23752;-78.5111;
Parque Plaza Magdalena;-0.2384833;-78.5256217;
Parque Spencer;-0.24026;-78.5118533;
Parque de Chimbacalle;-0.2399;-78.5147;
Parque;-0.2447;-78.5271;
Parque de los Skatepark;-0.2435;-78.5160;
Patronato San José;-0.25196;-78.5170;
Unidad Municipal de Salud;-0.25225;-78.5169;
Canchas Ferroviaria;-0.25451;-78.5129;
Parque Eloy Alfaro;-0.24267;-78.5093;
Parque 17 de Julio (La Redonda);-0.25822;-78.5168;
Parque Ecológico La Magdalena;-0.2381;-78.5262;
Parque Cacique Pintag;-0.2412;-78.5254;
Parque El Calzado;-0.25482;-78.5266;
Parque España;-0.2596902;-78.528726;
Parque de las Diversidades;-0.26110;-78.5252;
Casa Somos Ferroviaria;-0.26287;-78.5145;
Canchas Ferroviaria Alta 1;-0.26388;-78.5169;
Parque Ugalde;-0.25876;-78.5216;
Parque Chino;-0.2599135;-78.537401;
Parque de La Mena 2;-0.250586;-78.5545269;
Centro de Salud Tarqui;-0.2553;-78.5526;
Parque de La Gatazo;-0.2641064;-78.5461669;
"Centro de Educación Inicial ""Mercedes González de Moscoso""";-0.2575457;-78.5515801;
Centro Múltiple Norte;-0.2605201;-78.5494814;
Parque Remodelado Excombatientes del 41;-0.2592367;-78.5524733;
Escuela Camilo Gallegos;-0.26412;-78.5544;
Parque Solanda 2;-0.26476;-78.5388;
Parque Ciudadela El Comercio;-0.27454;-78.5430;
Escuela Nicolás Guillén;-0.2921326;-78.5247201;
"Escuela ""Capitan Alfonso Arrollo""";-0.28182;-78.5243;
Escuela Vicente Aurelio Crespo Ochoa;-0.2770552;-78.5169493;
Parque de la Ferroviaria Baja;-0.25479;-78.5179;
KENNEDY;-0.139183;-78.4791;
DMQ-Ecovía-24deMayo;-0.17451;-78.4772;
DMQ-ECOVÍA-JIPIJAPA;-0.1650;-78.4755;
Estadio de Nayón;-0.15672;-78.4345;
BELLAVISTA CANAL 8;-0.190420;-78.4718;
DMQ-Ecovía-SanMartin;-0.19201;-78.4809;
DMQ-Ecovía La Paz;-0.19649;-78.4832;
DMQ-Trole Cuero y Caicedo;-0.19190;-78.4934;
Parque El Heraldo;-0.17276;-78.4779;
NAYON;-0.17488;-78.4249;
Casa Somos Cotocog;-0.1399;-78.4263;
Parque La Quintana;-0.1279;-78.4604;
Parque El Porvenir;-0.12423;-78.5041;
Liga Barrial Monteserrín FLQ;-0.16048;-78.4574;
DMQ-Trole El Florón Sur;-0.185187;-78.490683;
DMQ-Trole Mariscal;-0.204428;-78.498992;
Parque Central Zámbiza;-0.148935;-78.440783;
Parque de la Mujer 2;-0.185122;-78.498142;
Liga Barrial EL Cisne;-0.1303;-78.51118;
Parque Liga Barrial La Campiña;-0.127705;-78.517478;
Parque de San Pedro de El Valle;-0.17284;-78.4236;
Parque Pío Jaramillo Alvarado;-0.1411;-78.4757;
Liga Barrial Kennedy 3ra Etapa.;-0.13716;-78.4743;
Parque California Bonanza;-0.13120;-78.4791;
Cocotog- Boulevard García Moreno 6;-0.13882;-78.4126;
Colegio Carlos Zambrano;-0.183351;-78.5103;
Centro Salud Las Casas;-0.17946;-78.5142;
La Comuna;-0.1894;-78.5144;
Parque Las Casas;-0.18542;-78.5075;
Centro de Salud Fray Bartolomé de Las Casas;-0.18975;-78.507;
Liga Las Casas;-0.18815;-78.5086;
Parque La Isla;-0.19170;-78.5029;
Colegio Municipal 9 de Octubre;-0.19315;-78.5091;
Parque del Agua EPMAPS;-0.18920;-78.4903;
UPC La Gasca;-0.19361;-78.5070;
Cancha Río Coca;-0.16057;-78.4707;
MIRADOR NOROCCIDENTE;-0.098756;-78.4946;
SAN ENRIQUE DE VELASCO;-0.10203;-78.5083;
CENTRO DE DESARROLLO INFANTIL COMUNITARIO;-0.10283;-78.5131;
ESCUELA LUIS TUFIÑO;-0.09293;-78.498592;
LIGA BARRIAL RACHO SAN ANTONIO ALTO FLQ;-0.10184;-78.5232;
ESTADIO DE LIGA BARRIAL COLINAS;-0.0974;-78.5141;
MERCADO VIRGEN DEL CISNE;-0.09348;-78.5165;
UNIDAD EDUCATIVA DIEGO ABAD DE CEPEDA;-0.09633;-78.5111;
ESCUELA 9 DE AGOSTO;-0.09201;-78.5031;
CANCHA DE FUTBOL;-0.09144;-78.5036;
PARQUE DEL CONCEJO;-0.07989;-78.5034;
ESTADIO-CANGAHUA;-0.08729;-78.5006;
CENTRO MEDICO SANTA HILDEGARDA;-0.0839;-78..51;
CASA SOMOS ROLDOS PISULI;-0.0846;-78.5095;
UNIDAD EDUCATIVA PISULI;-0.089608;-78.5148;
COCHA ACUSTICA PISULI;-0.0885;-78.5175;
CALACALI-ESTADIO;-0.000007;-78.5116;
Parque San José - Cotocollao;-0.12002;-78.501;
Colegio municipal cotocollao;-0.11632;-78.4854;
Parque Bellavista Alta;-0.12235;-78.5026;
Estadio Del Comité Del Pueblo;-0.12164;-78.4666;
Cuba Capilla-Centro Med;-0.06302;-78.4686;
Consejo Provincial Parque;-0.08207;-78.5032;
Cotocollao Casa Somos;-0.11065;-78.4994;
Casa Cultural Comité del Pueblo;-0.12195;-78.4638;
CDI-Iglesia;-0.10295;-78.5130;
Canchas San José Obrero;-0.11795;-78.5181;
Liga Barrial Santa María de Cotocollao;-0.12559;-78.5224;
Canchas Santa Ana Alta;-0.12133;-78.5178;
Canchas de Fútbol - Liga San Antonio de Pichincha;-0.00336;-78.4536;
Estadio Jaime Roldós Aguilera;-0.08425;-78.4658;
Colegio Angelica Idrobo;-0.10311;-78.5100;
Calle 27 de Febrero y Francisco Castellanos;-0.06086;-78.4644;
ANGAMARCA;-0.29048;-78.4245;
ALANGASI;-0.30341;-78.41429;
LIGA BARRIAL CUENDINA;-0.37077;-78.4749;
DMQ-Casa Somos Guangopolo;-0.258150;-78.451831;
Escuela General Numacuro;-0.29038;-78.5058;
Parque Alangasí;-0.30858;-78.4149;
Guangopolo Parque Central 1;-0.259020;-78.451872;
Guangopolo Estadio;-0.25789;-78.4499;
Colegio Pintag;-0.37357;-78.3732;
Iglesia de Angamarca;-0.29443;-78.4262;
Pintag Iglesia central;-0.37164;-78.375;
Alangasí calle Paulino Iza estadio;-0.291836;-78.4299;
Conocoto barrio Santa Teresita del Valle Monserrat;-0.26324;-78.5004;
Escuela Bartolome de las Casas;-0.37285;-78.4847;
Escuela Cristobal Colón;-0.36785;-78.3754;
DMQ-Ecovia-Orellana;-0.1992759;-78.4845213;
DMQ-Ecovia Manuela Cañizares;-0.20496;-78.4907;
AZ La Mariscal Balcón de servicios;-0.20642;-78.4914;
SAN JOSE DE MONJAS;-0.23316;-78.4910;
SAN JUAN;-0.2219;-78.5081;
LAS ORQUIDEAS;-0.221780;-78.489827;
Liga Barrial San Francisco FLQ;-0.246910;-78.495055;
"Liga Deportiva Barrial ""Obrero Independiente""";-0.247757;-78.486703;
MERCADO AMÉRICA;-0.2096;-78.5048;
DMQ-Ecovia Marin Central;-0.2220274;-78.5081419;
DMQ-Trole Banco Central;-0.216817;-78.505089;
DMQ-Trole Alameda Sur;-0.2137688;-78.5028087;
DMQ-Trole Ejido;-0.2103362;-78.5006675;
DMQ-Trole Hermano Miguel;-0.21785;-78.5061;
DMQ-Trole Santo Domingo;-0.22407;-78.5128;
Toctiuco 1;-0.2074557;-78.5225406;
Toctiuco 2;-0.2065102;-78.5245416;
Toctiuco 3 (Centro de Salud);-0.212556;-78.523973;
Toctiuco 4 (Parque Eugenio Espejo);-0.21326;-78.5206;
Centro de salud la Vicentina;-0.21799;-78.4848;
Centro de Salud Itchimbía;-0.2245175;-78.5052779;
Plaza de San Diego;-0.224123;-78.521165;
Parque Yavirac (El Panecillo);-0.226313;-78.520352;
Estadio de Puengasí;-0.249404;-78.5013;
Parque Obrero Independiente;-0.2445;-78.4895;
Parque todos unidos;-0.24569;-78.4913;
Parque La Vicentina;-0.21636;-78.4892;
Plaza el consuelo;-0.2175;-78.4990;
Yaku Museo del agua;-0.2170305;-78.5189705;
Parque la Alameda 1;-0.2136;-78.5025;
Parque El Ejido 3;-0.2109;-78.4988;
DMQ-EcoviaEugenioEspejo;-0.21425;-78.49871;
DMQ-Ecovia_CasadelaCultura;-0.20891;-78.4959;
CIUDADELA IBARRA;-0.2965748;-78.5637606;
LA ARCADIA;-0.307783;-78.550015;
LAS CUADRAS;-0.2810617;-78.5534445;
23 DE MAYO;-0.28714;-78.5596;
CAUPICHU;-0.3312;-78.5382;
LOS ANDES;-0.2919417;-78.5655783;
LIGA LA CONCORDIA;-0.298625;-78.5602717;
DMQ-Ecovia-Beaterio Nueva Aurora;-0.31798;-78.5490;
Parque lineal Quito Sur;-0.26004;-78.5352;
DMQ-Ecovia-Guayanay Ñan;-0.30557;-78.54310;
DMQ-Ecovia-Pacarillacta;-0.29923;-78.53936;
DMQ-Ecovia El Capuli;-0.299011;-78.541831;
DMQ-Trole Amaruñan;-0.29067;-78.5455;
DMQ-Trole Condorñan;-0.29755;-78.5499;
DMQ - Terminal Terrestre Quitumbe;-0.29521;-78.5548;
Cancha Nuevos horizontes - Colegio Marcelino Chapagnat;-0.30560;-78.5271;
"Institucion Educativa ""Luis Enrique Raza Bolaños""";-0.30007;-78.5249;
UNIDAD EDUCATIVA AURELIO BAYAS;-0.29657;-78.5314;
Parque Santa Rosa 2;-0.27431;-78.5641;
Parque Ejido;-0.29144;-78.5669;
Parque Ciudadela Ibarra;-0.296123;-78.562144;
Escuela Abdón Calderón;-0.303678;-78.558500;
Centro de Salud La Ecuatoriana;-0.310772;-78.561675;
5 DE FEBRERO;-0.310267;-78.569178;
LIBERTAD DE CHILLOGALLO;-0.28633;-78.5804;
EL TRÁNSITO;-0.287183;-78.565631;
MANUELITA SÁENZ;-0.32592;-78.57307;
QUITUS COLONIAL;-0.3073;-78.5334;
SANTOS PAMBA;-0.3322;-78.5728;
VICTORIA CENTRAL;-0,349;-78.,555;
PARQUE NUEVA AURORA;-0.319131;-78.552500;
PARQUE TERRANOVA;-0.2993;-78.5521;
PARQUE SAN FERNANDO;-0.3336;-78.5597;
CASA BARRIAL Y CANCHAS LA ECUATORIANA;-0.2997145;-78.5627951;
ESTADIO LA ECUATORIANA;-0.309575;-78.561828;
CANCHAS DE FUTBOL PUEBLO UNIDO;-0.2962;-78.5324;
CANCHAS BARRIO ECUADOR DEL FUTURO;-0.3409;-78.5410;
CANCHAS CARLOS E. FRANCO MENDEZ;-0.3158;-78.5439;
CANCHAS DEPORTIVAS LA VENECIA;-0.338017;-78.541167;
CANCHAS DE FUTBOL EL CONDE;-0.3173;-78.5355;
TUMBACO;-0.19133;-78.38279;
PUEMBO;-0.180756;-78.361800;
Puembo Parque;-0.177225;-78.359000;
Puembo Escuela;-0.174994;-78.358269;
Quito y Heladio Sánchez (Checa);-0.128153;-78.312336;
GONZALEZ SUAREZ;-0.25426;-78.5400;
MERCADO CHIRIYACU;-0.2486;-78.5179;
MERCADO LA MAGDALENA;-0.24153;-78.52986;
DMQ-Trole Chimbacalle;-0.23856;-78.5164;
DMQ-Trole Chimbacalle;-0.23960;-78.5175;
Parque Ecológico Santa Ana 1;-0.24058;-78.5204;
Parque Ecológico Santa Ana 2;-0.241298;-78.51882;
Centro de Salud Chimbacalle;-0.24454;-78.5133;
Parque Cardenal de la Torre;-0.26004;-78.5352;
MERCADO BELLAVISTA;-0.18993;-78.4714;
MERCADO SANTA CLARA;-0.1999;-78.4998;
Estación Multimodal El Labrador;-0.15464;-78.4879;
DMQ-Trole Estadio Norte;-0.17759;-78.4885;
DMQ-Trole Plaza de Toros;-0.16208;-78.4857;
Estadio Liga Barrial La Rumiñahui;-0.12353;-78.4899;
Parque Unión Nacional;-0.15787;-78.4954;
Parque México;-0.18217;-78.4734;
Cocotog- Boulevard García Moreno5;-0.13851;-78.4157;
PUERTAS DEL SOL;-0.1111;-78.4643;
COMITE DEL PUEBLO;-0.11623;-78.4630;
MERCADO COMITÉ DEL PUEBLO;-0.1190;-78.4655;
MERCADO COTOCOLLAO;-0.1158;-78.4900;
Caspigasi-Canchas;0.0106;-78.4795;
Canchas Comité del Pueblo Zona 8;-0.1253;-78.4661;
Calle B;-0.0585;-78.4657;
DMQ-Ecovia-Baca_Ortiz;-0.2024;-78.4867;
DMQ-Ecovia- De Las Universidades;-0.20822;-78.4903;
Parque Julio Andrade;-0.2011;-78.4963;
DMQ-Ecovia_CasadelaCultura;-0.2116;-78.4961;
SAN ROQUE;-0.21746;-78.522;
LA LIBERTAD;-0.23084;-78.5275;
MERCADO DE TOCTIUCO;-0.20963;-78.5221;
DMQ Casa de la Cultura;-0.21159;-78.4976;
DMQ-Ecovia Playon Marin;-0.22786;-78.5067;
SAN JOSE DE CALDERON;-0.08674;-78.4479;
Bellavista de Calderón Liga B;-0.06666;-78.4162;
Parque de Marianitas;-0.08244;-78.4183;
Carapungo Plaza Cultural;-0.0922;-78.4526;
Carapungo Parque;-0.10732;-78.4540;
Luz y Vida;-0.07261;-78.4394;
UEM Calderón;-0.07613;-78.4169;
Calderón Liga Barrial San José de C;-0.08877;-78.4405;
Oyacoto Parque Central;-0.1073;-78.3958;
Liga Deportiva Barrial Ecuador;-0.07547;-78.4452;
"Estadio ""Patrico Romero"" - Llano Grande";-0.1303;-78.4116;
Parque lineal bicentenario1;-0.06665;-78.4532;
Parque lineal bicentenario2;-0.06598;-78.4533;
Parque lineal bicentenario3;-0.06231;-78.4534;
Parque lineal bicentenario4;-0.05867;-78.4523;
Parque lineal bicentenario5;-0.05692;-78.4514;
Guagua centro ciudad bicentenario;-0.06567;-78.4513;
